Name,Designation,neo_reference_id,Eccentricity,Semi-Major Axis,Inclination,Perihelion Argument,Perihelion Time
154300 (2002 UO),154300,2154300,.4723709427561505,1.208958054186725,8.301262098585477,184.1530914888938,2458802.068190079439
11500 Tomaiyowit (1989 UR),11500,2011500,.3557227059044127,1.079645465320904,10.31051186754238,289.4439102701706,2458592.676471459482
87309 (2000 QP),87309,2087309,.4631349828143141,.8474752775488192,34.74434403911787,188.1532923042771,2458709.280119236243
137125 (1999 CT3),137125,2137125,.1318106937036835,1.426806423306389,34.2337687536456,268.2278702426477,2458835.588426546933
(2016 HL3),2016 HL3,3752441,.1643222174649497,.9681971183272143,3.45215482650004,335.9920287029111,2458429.634427591351
(2015 OJ22),2015 OJ22,3724397,.439579165121454,2.095581646883875,7.140143025505138,222.4468026805224,2458353.916995352961
(2009 BL71),2009 BL71,3445082,.26574520382964,.9367115545852446,5.546442629289151,292.4286535054342,2458666.396089492583
(2016 PA40),2016 PA40,3757410,.285581478651962,1.012110800806046,10.47505791583854,118.4309932164919,2458453.623242937157
174881 (2004 BU58),174881,2174881,.5570992328902284,1.253949205385532,57.23072591314289,171.7889174847251,2458847.362001269582
(2018 XT6),2018 XT6,3836958,.4030587316929995,1.764710222011457,7.624120696422254,91.49463395598775,2458368.995819679520
(2019 AQ11),2019 AQ11,3837860,.2526579940674339,1.099951496169497,37.02922090914476,249.525281966816,2458396.751774330116
(2018 RR7),2018 RR7,3829479,.3697560287312031,1.715545178164918,7.003963037927787,248.4483647863218,2458361.934199187245
(2018 PJ9),2018 PJ9,3826666,.4832070792266436,1.982621645653664,4.524975446472828,14.85646635100912,2458323.242003704043
(2017 FG1),2017 FG1,3771609,.2724426867725898,.9330307634633754,17.52084074733688,48.19637152194615,2458721.326832994100
(2013 AW52),2013 AW52,3623681,.4879026659985887,1.11405526425956,19.00357815329008,36.45000219986618,2458783.297402749565
(2010 WB),2010 WB,3552163,.2881759187411239,1.358419913861826,5.500385573164333,150.3303966327248,2458381.629084196693
523732 (2014 PG51),523732,2523732,.4526637754020125,1.205635055847594,3.792817056109115,294.0600569803577,2458730.856748634476
(2018 OG),2018 OG,3825665,.5815595898693798,2.359214087636964,9.123022769706919,220.7603912029951,2458366.945110604998
(2015 BQ512),2015 BQ512,3709137,.2728599850654413,1.203396780822762,19.20918027790373,101.3829763167004,2456986.358837893902
(2013 MR),2013 MR,3644087,.4908528394883453,.8735624804068999,20.24420219033526,207.3564305086489,2458740.934024093277
(2016 VB1),2016 VB1,3763274,.3188325995032978,.7549630419702232,1.222992072318609,176.1858442088727,2458528.515579829782
(2018 FE5),2018 FE5,3802099,.5822497720770505,2.627166576758003,24.69645300067266,259.6997958598193,2458290.516003692443
(2018 PU10),2018 PU10,3826687,.4249300294620912,1.995991565499545,2.974617090604937,232.1791427484939,2458342.451669045463
(2018 PR10),2018 PR10,3826685,.5234225775892306,.7311614002758356,12.5824429745398,170.4272120683905,2458445.005716979020
(2014 CE),2014 CE,3660383,.4577917172648415,1.369905204329102,6.04242426765768,281.1977236597135,2458395.736148662211
(2018 PO10),2018 PO10,3826683,.4431347573017484,2.107978085066069,7.281854281926484,212.3532455956997,2458347.115405936103
(2018 PM10),2018 PM10,3826680,.4276825244170706,1.782035059360818,9.211648312918941,6.64336867417583,2458346.750240782719
(2018 PN22),2018 PN22,3826807,.03920821599219035,.9971753978486293,4.384954505605288,219.1759861992088,2458563.813036820677
(2007 VL243),2007 VL243,3395309,.7286010747651758,.9651551339684774,43.33393830404594,91.26148430643097,2458657.879440747311
(2018 PN9),2018 PN9,3826672,.1727687770542917,1.28185002394827,19.96130938058466,346.185817184138,2458326.381880773688
(2018 QX),2018 QX,3826891,.3085660834509985,1.477433484115325,3.898583617297799,167.3124557344018,2458337.575441940434
(2012 VE37),2012 VE37,3617157,.5367945168028808,1.04019451992296,17.46274616742431,149.8933539794648,2458672.920872658788
(2018 PN21),2018 PN21,3826773,.4154189937235444,1.774366643008577,11.36590475262741,33.75286983450464,2458363.905589808292
(2014 PG51),2014 PG51,3679872,.4527372002643387,1.205664445006087,3.792714297239489,294.0573368054232,2458247.336927797963
(2016 CS30),2016 CS30,3742047,.2528382191654702,1.341759180598924,23.40674105614411,85.80621518977529,2458465.465293051565
(2018 PD20),2018 PD20,3826710,.3196352287291922,1.069179989471384,9.500248109251521,260.4930453896312,2458674.711768297112
