Name,Designation,neo_reference_id,Eccentricity,Semi-Major Axis,Inclination,Perihelion Argument,Perihelion Time
388189 (2006 DS14),388189,2388189,.3365333801697903,.8637596666752249,26.53362183966773,187.4893862951618,2458644.982292456246
154300 (2002 UO),154300,2154300,.4723709427561505,1.208958054186725,8.301262098585477,184.1530914888938,2458802.068190079439
11500 Tomaiyowit (1989 UR),11500,2011500,.3557227059044127,1.079645465320904,10.31051186754238,289.4439102701706,2458592.676471459482
87309 (2000 QP),87309,2087309,.4631349828143141,.8474752775488192,34.74434403911787,188.1532923042771,2458709.280119236243
137125 (1999 CT3),137125,2137125,.1318106937036835,1.426806423306389,34.2337687536456,268.2278702426477,2458835.588426546933
(2016 HL3),2016 HL3,3752441,.1643222174649497,.9681971183272143,3.45215482650004,335.9920287029111,2458429.634427591351
(2015 OJ22),2015 OJ22,3724397,.439579165121454,2.095581646883875,7.140143025505138,222.4468026805224,2458353.916995352961
(2009 BL71),2009 BL71,3445082,.26574520382964,.9367115545852446,5.546442629289151,292.4286535054342,2458666.396089492583
(2003 EM1),2003 EM1,3150768,.05259350971859431,.9567030413431596,15.26528487922895,23.209231032634,2458719.000507493539
174881 (2004 BU58),174881,2174881,.5570992328902284,1.253949205385532,57.23072591314289,171.7889174847251,2458847.362001269582
376788 (2000 RV37),376788,2376788,.4959173378179828,1.040841891326462,16.32936025731673,210.9437899859317,2458624.759925882226
(2018 RR7),2018 RR7,3829479,.3697560287312031,1.715545178164918,7.003963037927787,248.4483647863218,2458361.934199187245
(2017 FG1),2017 FG1,3771609,.2724426867725898,.9330307634633754,17.52084074733688,48.19637152194615,2458721.326832994100
(2018 PO20),2018 PO20,3826762,.2336658429600074,1.319919328251709,10.28106871008739,331.9959117331503,2458867.986330043899
(2013 AW52),2013 AW52,3623681,.4879026659985887,1.11405526425956,19.00357815329008,36.45000219986618,2458783.297402749565
(2010 WB),2010 WB,3552163,.2881759187411239,1.358419913861826,5.500385573164333,150.3303966327248,2458381.629084196693
523732 (2014 PG51),523732,2523732,.4526637754020125,1.205635055847594,3.792817056109115,294.0600569803577,2458730.856748634476
(2018 OG),2018 OG,3825665,.5815595898693798,2.359214087636964,9.123022769706919,220.7603912029951,2458366.945110604998
(2018 EA1),2018 EA1,3799797,.4798237883347683,1.107464292251649,14.69595102427951,333.3126427704877,2458765.944352971416
(2018 PU10),2018 PU10,3826687,.4249300294620912,1.995991565499545,2.974617090604937,232.1791427484939,2458342.451669045463
(2018 PR10),2018 PR10,3826685,.5234225775892306,.7311614002758356,12.5824429745398,170.4272120683905,2458445.005716979020
(2018 PN10),2018 PN10,3826681,.3418747721615742,1.653812400876398,11.29058915114088,345.049449314978,2458329.613962381702
(2018 PN21),2018 PN21,3826773,.4154189937235444,1.774366643008577,11.36590475262741,33.75286983450464,2458363.905589808292
(2018 PN22),2018 PN22,3826807,.03920821599219035,.9971753978486293,4.384954505605288,219.1759861992088,2458563.813036820677
(2018 PN9),2018 PN9,3826672,.1727687770542917,1.28185002394827,19.96130938058466,346.185817184138,2458326.381880773688
(2018 QQ),2018 QQ,3826890,.2158240422570643,1.308370606590574,6.244056089892918,142.7846317342181,2458862.186553479819
(2012 VE37),2012 VE37,3617157,.5367945168028808,1.04019451992296,17.46274616742431,149.8933539794648,2458672.920872658788
(2014 NL52),2014 NL52,3674659,.1947663471508248,1.224151712189228,7.757572114629065,329.7102301231911,2458791.633441812160
(2018 MD7),2018 MD7,3825486,.1100264844667981,.9472082260607788,8.225184824156992,313.1864503420027,2458449.563793447947
(2014 PG51),2014 PG51,3679872,.4527372002643387,1.205664445006087,3.792714297239489,294.0573368054232,2458247.336927797963
217013 (2001 AA50),217013,2217013,.1979644680796289,1.320781424076855,43.87951335314092,58.61763392758328,2458418.797311478895
