Name,Designation,neo_reference_id,Eccentricity,Semi-Major Axis,Inclination,Perihelion Argument,Perihelion Time
(2015 MY53),2015 MY53,3721905,.4897572935872311,2.101979860883741,1.708868032818795,142.8243523868509,2458320.757851236763
(2018 PK22),2018 PK22,3826812,.5102822345583274,2.25649701415349,4.509020450165814,313.989211315363,2458336.002375673947
264308 (1999 NA5),264308,2264308,.2484672260146248,1.436386445567608,4.277657665907678,318.8912489629203,2458834.337121281152
1627 Ivar (1929 SH),1627,2001627,.3966132607231918,1.863481492945427,8.450367950329317,167.7698133307097,2458338.381468381733
(2016 CS30),2016 CS30,3742047,.2528382191654702,1.341759180598924,23.40674105614411,85.80621518977529,2458465.465293051565
(2016 PA40),2016 PA40,3757410,.285581478651962,1.012110800806046,10.47505791583854,118.4309932164919,2458453.623242937157
(2014 QB433),2014 QB433,3685810,.1953165039041453,1.226829024276359,15.3685210492969,292.8832170762396,2458515.332721998588
(2018 FE5),2018 FE5,3802099,.5822497720770505,2.627166576758003,24.69645300067266,259.6997958598193,2458290.516003692443
(2018 XT6),2018 XT6,3836958,.4030587316929995,1.764710222011457,7.624120696422254,91.49463395598775,2458368.995819679520
(2019 AQ11),2019 AQ11,3837860,.2526579940674339,1.099951496169497,37.02922090914476,249.525281966816,2458396.751774330116
(2018 QR),2018 QR,3826885,.4642330783385967,2.090889442945838,1.337479076455567,70.2357318937014,2458347.786970436145
(2018 PJ9),2018 PJ9,3826666,.4832070792266436,1.982621645653664,4.524975446472828,14.85646635100912,2458323.242003704043
(2019 CO1),2019 CO1,3838124,.1466746962304775,1.10769211378815,17.92777762440886,58.40736282445201,2458395.156668210407
326386 (2001 OA14),326386,2326386,.4216390929661474,1.088879985286879,29.24015539397752,144.3781373973016,2458461.005765678022
455407 (2003 ER),455407,2455407,.2359091710841778,1.512734264063317,36.10024804371967,68.60004651762485,2458905.079582077122
(2016 VB1),2016 VB1,3763274,.3188325995032978,.7549630419702232,1.222992072318609,176.1858442088727,2458528.515579829782
(2018 PT7),2018 PT7,3826620,.4473728210896505,1.907724521992062,10.63362235015643,208.7539692035107,2458360.654179190537
(2015 BQ512),2015 BQ512,3709137,.2728599850654413,1.203396780822762,19.20918027790373,101.3829763167004,2456986.358837893902
(2011 TK5),2011 TK5,3581556,.4338571961541812,.8534946024376187,12.59098627614529,348.9707806194143,2458547.931892355529
(2018 EU2),2018 EU2,3799853,.1644131788052694,1.193385500673761,20.33996222045096,212.3547670329357,2458698.119272584235
(2014 CE),2014 CE,3660383,.4577917172648415,1.369905204329102,6.04242426765768,281.1977236597135,2458395.736148662211
(2018 PO10),2018 PO10,3826683,.4431347573017484,2.107978085066069,7.281854281926484,212.3532455956997,2458347.115405936103
(2018 PM10),2018 PM10,3826680,.4276825244170706,1.782035059360818,9.211648312918941,6.64336867417583,2458346.750240782719
(2013 MR),2013 MR,3644087,.4908528394883453,.8735624804068999,20.24420219033526,207.3564305086489,2458740.934024093277
(2007 VL243),2007 VL243,3395309,.7286010747651758,.9651551339684774,43.33393830404594,91.26148430643097,2458657.879440747311
(2018 QX),2018 QX,3826891,.3085660834509985,1.477433484115325,3.898583617297799,167.3124557344018,2458337.575441940434
(2018 QY),2018 QY,3826899,.4545766617230644,1.412946821687136,15.21285829996873,96.72160784464253,2458901.819224210812
(2013 ND15),2013 ND15,3645042,.6118757989020474,.7235434878449817,4.800440889299219,19.73339125895884,2458625.063974669568
(2018 NO4),2018 NO4,3825658,.5120621744405373,2.434387843726331,10.05423726916634,15.92620864386403,2458343.804335769039
(2018 PD20),2018 PD20,3826710,.3196352287291922,1.069179989471384,9.500248109251521,260.4930453896312,2458674.711768297112
(2018 PK10),2018 PK10,3826679,.2990046415806905,1.757626605836568,15.3059093286678,8.795750976220198,2458354.803429043544
