Name,neo_reference_id,Eccentricity,Semi-Major Axis,Inclination,Perihelion Argument,Perihelion Time
2018 FE5,3802099,.5822497720770505,2.627166576758003,24.69645300067266,259.6997958598193,2458290.516003692443
2018 QX,3826891,.3085660834509985,1.477433484115325,3.898583617297799,167.3124557344018,2458337.575441940434
2018 XT6,3836958,.4030587316929995,1.764710222011457,7.624120696422254,91.49463395598775,2458368.995819679520
2019 AQ11,3837860,.2526579940674339,1.099951496169497,37.02922090914476,249.525281966816,2458396.751774330116
2007 VL243,3395309,.7286010747651758,.9651551339684774,43.33393830404594,91.26148430643097,2458657.879440747311
2018 PJ9,3826666,.4832070792266436,1.982621645653664,4.524975446472828,14.85646635100912,2458323.242003704043
2014 CE,3660383,.4577917172648415,1.369905204329102,6.04242426765768,281.1977236597135,2458395.736148662211
2018 PO10,3826683,.4431347573017484,2.107978085066069,7.281854281926484,212.3532455956997,2458347.115405936103
2018 PM10,3826680,.4276825244170706,1.782035059360818,9.211648312918941,6.64336867417583,2458346.750240782719
2013 MR,3644087,.4908528394883453,.8735624804068999,20.24420219033526,207.3564305086489,2458740.934024093277
2016 CS30,3742047,.2528382191654702,1.341759180598924,23.40674105614411,85.80621518977529,2458465.465293051565
2016 VB1,3763274,.3188325995032978,.7549630419702232,1.222992072318609,176.1858442088727,2458528.515579829782
2016 PA40,3757410,.285581478651962,1.012110800806046,10.47505791583854,118.4309932164919,2458453.623242937157
2018 PD20,3826710,.3196352287291922,1.069179989471384,9.500248109251521,260.4930453896312,2458674.711768297112
2015 BQ512,3709137,.2728599850654413,1.203396780822762,19.20918027790373,101.3829763167004,2456986.358837893902
