Name,neo_reference_id,Eccentricity,Semi-Major Axis,Inclination,Perihelion Argument,Perihelion Time,Perihelion Distance,Alphelion Distance,Close-Approach Date,Nominal Miss Distance (AU),GSE (AU),Orbiting Body for Close-Approach
(2006 TL),3348144,.3973884888645337,.9403009798904538,11.60741478193968,315.2444548388114,2458763.532999223980,.5666361944139461,1.313965765366961,1902-10-20,0.0461503241,,Earth
(2006 TL),3348144,.3973884888645337,.9403009798904538,11.60741478193968,315.2444548388114,2458763.532999223980,.5666361944139461,1.313965765366961,1954-10-20,0.0443347933,,Earth
(2006 TL),3348144,.3973884888645337,.9403009798904538,11.60741478193968,315.2444548388114,2458763.532999223980,.5666361944139461,1.313965765366961,2006-10-20,0.0480115278,,Earth
(2006 TL),3348144,.3973884888645337,.9403009798904538,11.60741478193968,315.2444548388114,2458763.532999223980,.5666361944139461,1.313965765366961,2037-10-20,0.0482614438,,Earth
(2006 TL),3348144,.3973884888645337,.9403009798904538,11.60741478193968,315.2444548388114,2458763.532999223980,.5666361944139461,1.313965765366961,2089-10-20,0.0491994989,,Earth
(2006 TL),3348144,.3973884888645337,.9403009798904538,11.60741478193968,315.2444548388114,2458763.532999223980,.5666361944139461,1.313965765366961,2110-10-21,0.0718340338,,Earth
(2006 TL),3348144,.3973884888645337,.9403009798904538,11.60741478193968,315.2444548388114,2458763.532999223980,.5666361944139461,1.313965765366961,2141-10-21,0.0730743779,,Earth
(2006 TL),3348144,.3973884888645337,.9403009798904538,11.60741478193968,315.2444548388114,2458763.532999223980,.5666361944139461,1.313965765366961,2162-10-22,0.0484554781,,Earth
(2013 GQ38),3634387,.4249840317343364,1.745963058378783,8.113720891883814,40.18020786235846,2458965.182980273315,1.003956638569756,2.487969478187811,1930-04-28,0.0431860216,,Earth
(2013 GQ38),3634387,.4249840317343364,1.745963058378783,8.113720891883814,40.18020786235846,2458965.182980273315,1.003956638569756,2.487969478187811,1960-04-22,0.0635487378,,Earth
(2013 GQ38),3634387,.4249840317343364,1.745963058378783,8.113720891883814,40.18020786235846,2458965.182980273315,1.003956638569756,2.487969478187811,2013-05-05,0.0529436679,,Earth
(2013 GQ38),3634387,.4249840317343364,1.745963058378783,8.113720891883814,40.18020786235846,2458965.182980273315,1.003956638569756,2.487969478187811,2043-04-23,0.0694010098,,Earth
(2013 GQ38),3634387,.4249840317343364,1.745963058378783,8.113720891883814,40.18020786235846,2458965.182980273315,1.003956638569756,2.487969478187811,2096-05-10,0.0686934803,,Earth
(2010 EX11),3511111,.1096812272253328,.9560631225560955,9.745514097182776,42.7224364952435,2458573.568253529059,.8512009459692592,1.060925299142932,1912-03-28,0.057522498,,Earth
(2010 EX11),3511111,.1096812272253328,.9560631225560955,9.745514097182776,42.7224364952435,2458573.568253529059,.8512009459692592,1.060925299142932,1953-03-20,0.0314441361,,Earth
(2010 EX11),3511111,.1096812272253328,.9560631225560955,9.745514097182776,42.7224364952435,2458573.568253529059,.8512009459692592,1.060925299142932,1967-03-19,0.0400437287,,Earth
(2010 EX11),3511111,.1096812272253328,.9560631225560955,9.745514097182776,42.7224364952435,2458573.568253529059,.8512009459692592,1.060925299142932,1996-03-27,0.0583509743,,Earth
(2010 EX11),3511111,.1096812272253328,.9560631225560955,9.745514097182776,42.7224364952435,2458573.568253529059,.8512009459692592,1.060925299142932,2010-03-20,0.0283723242,,Earth
(2010 EX11),3511111,.1096812272253328,.9560631225560955,9.745514097182776,42.7224364952435,2458573.568253529059,.8512009459692592,1.060925299142932,2053-03-22,0.0301408331,,Earth
(2010 EX11),3511111,.1096812272253328,.9560631225560955,9.745514097182776,42.7224364952435,2458573.568253529059,.8512009459692592,1.060925299142932,2067-03-19,0.0325988248,,Earth
(2010 EX11),3511111,.1096812272253328,.9560631225560955,9.745514097182776,42.7224364952435,2458573.568253529059,.8512009459692592,1.060925299142932,2096-03-24,0.0453323603,,Earth
(2010 EX11),3511111,.1096812272253328,.9560631225560955,9.745514097182776,42.7224364952435,2458573.568253529059,.8512009459692592,1.060925299142932,2110-03-20,0.031049412,,Earth
(2005 OH3),3285301,.1699717473002184,1.239059771536843,4.752202213322886,187.0082010296876,2458615.418502618233,1.028454617159316,1.449664925914369,1954-07-30,0.0151090349,,Earth
(2005 OH3),3285301,.1699717473002184,1.239059771536843,4.752202213322886,187.0082010296876,2458615.418502618233,1.028454617159316,1.449664925914369,1965-08-25,0.0926317916,,Earth
(2005 OH3),3285301,.1699717473002184,1.239059771536843,4.752202213322886,187.0082010296876,2458615.418502618233,1.028454617159316,1.449664925914369,1994-07-09,0.0828140819,,Earth
(2005 OH3),3285301,.1699717473002184,1.239059771536843,4.752202213322886,187.0082010296876,2458615.418502618233,1.028454617159316,1.449664925914369,2005-08-01,0.0140266694,,Earth
(2005 OH3),3285301,.1699717473002184,1.239059771536843,4.752202213322886,187.0082010296876,2458615.418502618233,1.028454617159316,1.449664925914369,2005-08-01,0.0140266637,,Earth
(2005 OH3),3285301,.1699717473002184,1.239059771536843,4.752202213322886,187.0082010296876,2458615.418502618233,1.028454617159316,1.449664925914369,2016-08-02,0.0145164562,,Earth
2201 Oljato (1947 XC),2002201,.712902827531431,2.174290200364063,2.522434598920908,98.2603210716439,2458340.000088639330,.6242325686506408,3.724347832077485,1951-06-15,0.0994674108,,Earth
2201 Oljato (1947 XC),2002201,.712902827531431,2.174290200364063,2.522434598920908,98.2603210716439,2458340.000088639330,.6242325686506408,3.724347832077485,2040-12-16,0.0999072089,,Earth
